objectid,palika,district,palika_name,gn_type,province_code,district_code,mun_code,lu_cbs_code,hlcit_id,admin2pcode,indicators,value,Fulltitle,Abstract,Category,Year,value_formula,,,HLICT_Code,Community_school
,Likhu Gaunpalika,OKHALDHUNGA,Likhu,Gaunpalika,1,13,116,10405,524 1 13 4 002,NP0113402,e_i_f_n_c_s,31,Community School,,Total number of schools community/institutional,,31,,,524 2 33 4 004,10
,Molung Gaunpalika,OKHALDHUNGA,Molung,Gaunpalika,1,13,118,10403,524 1 13 4 003,NP0113403,e_i_f_n_c_s,24,Community School,,Total number of schools community/institutional,,24,,,524 7 67 4 004,32
,Champadevi Gaunpalika,OKHALDHUNGA,Champadevi,Gaunpalika,1,13,113,10406,524 1 13 4 004,NP0113404,e_i_f_n_c_s,42,Community School,,Total number of schools community/institutional,,42,,,524 2 15 3 006,32
,Sunkoshi Gaunpalika,OKHALDHUNGA,Sunkoshi,Gaunpalika,1,13,120,10407,524 1 13 4 005,NP0113405,e_i_f_n_c_s,39,Community School,,Total number of schools community/institutional,,39,,,524 7 70 4 007,43
,Chisankhugadhi Gaunpalika,OKHALDHUNGA,Chisankhugadhi,Gaunpalika,1,13,114,10401,524 1 13 4 006,NP0113406,e_i_f_n_c_s,44,Community School,,Total number of schools community/institutional,,44,,,524 2 32 3 010,12
,Manebhanjyang Gaunpalika,OKHALDHUNGA,Manebhanjyang,Gaunpalika,1,13,117,10408,524 1 13 4 007,NP0113407,e_i_f_n_c_s,46,Community School,,Total number of schools community/institutional,,46,,,524 2 19 4 007,7
,Katari Nagarpalika,UDAYAPUR,Katari,Nagarpalika,1,14,133,11407,524 1 14 3 001,NP0114301,e_i_f_n_c_s,84,Community School,,Total number of schools community/institutional,,84,,,524 2 32 3 005,23
,Triyuga Nagarpalika,UDAYAPUR,Triyuga,Nagarpalika,1,14,137,11403,524 1 14 3 002,NP0114302,e_i_f_n_c_s,76,Community School,,Total number of schools community/institutional,,76,,,524 5 49 3 002,57
,Chaudandigadhi Nagarpalika,UDAYAPUR,Chaudandigadhi,Nagarpalika,1,14,132,11402,524 1 14 3 003,NP0114303,e_i_f_n_c_s,49,Community School,,Total number of schools community/institutional,,49,,,524 1 04 4 002,19
,Belaka Nagarpalika,UDAYAPUR,Belaka,Nagarpalika,1,14,131,11401,524 1 14 3 004,NP0114304,e_i_f_n_c_s,52,Community School,,Total number of schools community/institutional,,52,,,524 3 27 3 003,9
,Tapli Gaunpalika,UDAYAPUR,Tapli,Gaunpalika,1,14,136,11406,524 1 14 4 001,NP0114401,e_i_f_n_c_s,37,Community School,,Total number of schools community/institutional,,37,,,524 1 05 4 004,19
,Sunkoshi Gaunpalika,UDAYAPUR,Sunkoshi,Gaunpalika,1,14,135,10407,524 1 14 4 002,NP0114402,e_i_f_n_c_s,32,Community School,,Total number of schools community/institutional,,32,,,524 7 68 3 003,33
,Udayapurgadhi Gaunpalika,UDAYAPUR,Udayapurgadhi,Gaunpalika,1,14,138,11408,524 1 14 4 003,NP0114403,e_i_f_n_c_s,61,Community School,,Total number of schools community/institutional,,61,,,524 7 68 3 001,30
,Rautamai Gaunpalika,UDAYAPUR,Rautamai,Gaunpalika,1,14,134,11404,524 1 14 4 004,NP0114404,e_i_f_n_c_s,60,Community School,,Total number of schools community/institutional,,60,,,524 4 47 4 002,44
,Koshi Tappu Wildlife Reserve Wildlife Reserve,UDAYAPUR,Koshi Tappu Wildlife Reserve,Wildlife Reserve,1,14,139,99980,524 1 14 5 995,NP0114595,e_i_f_n_c_s,0,Community School,,Total number of schools community/institutional,,#N/A,,,524 7 67 3 001,85
,Surunga Nagarpalika,SAPTARI,Surunga,Nagarpalika,2,15,155,20107,524 2 15 3 001,NP0215301,e_i_f_n_c_s,35,Community School,,Total number of schools community/institutional,,35,,,524 4 47 4 001,32
,Khadak Nagarpalika,SAPTARI,Khadak,Nagarpalika,2,15,149,20106,524 2 15 3 002,NP0215302,e_i_f_n_c_s,43,Community School,,Total number of schools community/institutional,,43,,,524 5 48 2 001,41
,Shambhunath Nagarpalika,SAPTARI,Shambhunath,Nagarpalika,2,15,154,20105,524 2 15 3 003,NP0215303,e_i_f_n_c_s,27,Community School,,Total number of schools community/institutional,,27,,,524 7 75 4 001,25
,Saptakoshi Nagarpalika,SAPTARI,Saptakoshi,Nagarpalika,2,15,153,20101,524 2 15 3 004,NP0215304,e_i_f_n_c_s,13,Community School,,Total number of schools community/institutional,,13,,,524 4 40 3 002,88
,Kanchanrup Nagarpalika,SAPTARI,Kanchanrup,Nagarpalika,2,15,148,20102,524 2 15 3 005,NP0215305,e_i_f_n_c_s,31,Community School,,Total number of schools community/institutional,,31,,,524 1 09 3 003,59
,Bode Barsain Nagarpalika,SAPTARI,Bode Barsain,Nagarpalika,2,15,144,20109,524 2 15 3 006,NP0215306,e_i_f_n_c_s,32,Community School,,Total number of schools community/institutional,,32,,,524 2 19 4 004,15
,Dakneshwori Nagarpalika,SAPTARI,Dakneshwori,Nagarpalika,2,15,146,20110,524 2 15 3 007,NP0215307,e_i_f_n_c_s,25,Community School,,Total number of schools community/institutional,,25,,,524 4 38 4 003,6
,Rajbiraj Nagarpalika,SAPTARI,Rajbiraj,Nagarpalika,2,15,151,20113,524 2 15 3 008,NP0215308,e_i_f_n_c_s,44,Community School,,Total number of schools community/institutional,,44,,,524 1 13 4 004,42
,Hanumannagar Kankalini Nagarpalika,SAPTARI,Hanumannagar Kankalini,Nagarpalika,2,15,147,20116,524 2 15 3 009,NP0215309,e_i_f_n_c_s,31,Community School,,Total number of schools community/institutional,,31,,,524 6 61 3 002,52
,Rupani Gaunpalika,SAPTARI,Rupani,Gaunpalika,2,15,152,20104,524 2 15 4 001,NP0215401,e_i_f_n_c_s,15,Community School,,Total number of schools community/institutional,,15,,,524 6 63 3 001,29
,Agnisair Krishna Savaran Gaunpalika,SAPTARI,Agnisair Krishna Savaran,Gaunpalika,2,15,140,20103,524 2 15 4 002,NP0215402,e_i_f_n_c_s,21,Community School,,Total number of schools community/institutional,,21,,,524 3 27 3 008,24
,Tirahut Gaunpalika,SAPTARI,Tirahut,Gaunpalika,2,15,157,20115,524 2 15 4 003,NP0215403,e_i_f_n_c_s,10,Community School,,Total number of schools community/institutional,,10,,,524 5 51 4 006,45
,Balan Bihul Gaunpalika,SAPTARI,Balan Bihul,Gaunpalika,2,15,141,20108,524 2 15 4 004,NP0215404,e_i_f_n_c_s,18,Community School,,Total number of schools community/institutional,,18,,,524 2 19 4 002,11
,Mahadeva Gaunpalika,SAPTARI,Mahadeva,Gaunpalika,2,15,150,20114,524 2 15 4 005,NP0215405,e_i_f_n_c_s,18,Community School,,Total number of schools community/institutional,,18,,,524 2 32 3 002,52
,Belhi Chapena Gaunpalika,SAPTARI,Belhi Chapena,Gaunpalika,2,15,142,20111,524 2 15 4 006,NP0215406,e_i_f_n_c_s,22,Community School,,Total number of schools community/institutional,,22,,,524 3 26 3 002,36
,Bishnupur Gaunpalika,SAPTARI,Bishnupur,Gaunpalika,2,15,143,20112,524 2 15 4 007,NP0215407,e_i_f_n_c_s,21,Community School,,Total number of schools community/institutional,,21,,,524 6 66 4 005,20
,Chhinnamasta Gaunpalika,SAPTARI,Chhinnamasta,Gaunpalika,2,15,145,20118,524 2 15 4 008,NP0215408,e_i_f_n_c_s,22,Community School,,Total number of schools community/institutional,,22,,,524 4 41 3 005,56
,Tilathi Koiladi Gaunpalika,SAPTARI,Tilathi Koiladi,Gaunpalika,2,15,156,20117,524 2 15 4 009,NP0215409,e_i_f_n_c_s,21,Community School,,Total number of schools community/institutional,,21,,,524 1 07 4 004,52
,Koshi Tappu Wildlife Reserve Wildlife Reserve,SAPTARI,Koshi Tappu Wildlife Reserve,Wildlife Reserve,2,15,158,99981,524 2 15 5 995,NP0215595,e_i_f_n_c_s,0,Community School,,Total number of schools community/institutional,,#N/A,,,524 1 14 3 003,49
,Karjanha Nagarpalika,SIRAHA,Karjanha,Nagarpalika,2,16,167,20205,524 2 16 3 001,NP0216301,e_i_f_n_c_s,23,Community School,,Total number of schools community/institutional,,23,,,524 6 59 4 001,47
,Mirchaiya Nagarpalika,SIRAHA,Mirchaiya,Nagarpalika,2,16,170,20204,524 2 16 3 002,NP0216302,e_i_f_n_c_s,32,Community School,,Total number of schools community/institutional,,32,,,524 3 24 4 002,57
,Golbazar Nagarpalika,SIRAHA,Golbazar,Nagarpalika,2,16,165,20203,524 2 16 3 003,NP0216303,e_i_f_n_c_s,31,Community School,,Total number of schools community/institutional,,31,,,524 6 52 3 002,43
,Dhangadhimai Nagarpalika,SIRAHA,Dhangadhimai,Nagarpalika,2,16,164,20202,524 2 16 3 004,NP0216304,e_i_f_n_c_s,34,Community School,,Total number of schools community/institutional,,34,,,524 7 69 4 001,41
,Lahan Nagarpalika,SIRAHA,Lahan,Nagarpalika,2,16,168,20201,524 2 16 3 005,NP0216305,e_i_f_n_c_s,67,Community School,,Total number of schools community/institutional,,67,,,524 7 67 4 007,41
,Kalyanpur Nagarpalika,SIRAHA,Kalyanpur,Nagarpalika,2,16,166,20206,524 2 16 3 006,NP0216306,e_i_f_n_c_s,37,Community School,,Total number of schools community/institutional,,37,,,524 6 62 4 006,7
,Sukhipur Nagarpalika,SIRAHA,Sukhipur,Nagarpalika,2,16,175,20210,524 2 16 3 007,NP0216307,e_i_f_n_c_s,29,Community School,,Total number of schools community/institutional,,29,,,524 1 08 4 004,47
,Siraha Nagarpalika,SIRAHA,Siraha,Nagarpalika,2,16,174,20217,524 2 16 3 008,NP0216308,e_i_f_n_c_s,64,Community School,,Total number of schools community/institutional,,64,,,524 1 07 4 002,33
,Naraha Gaunpalika,SIRAHA,Naraha,Gaunpalika,2,16,171,20207,524 2 16 4 001,NP0216401,e_i_f_n_c_s,14,Community School,,Total number of schools community/institutional,,14,,,524 5 50 4 002,42
,Bishnupur Gaunpalika,SIRAHA,Bishnupur,Gaunpalika,2,16,163,20112,524 2 16 4 002,NP0216402,e_i_f_n_c_s,13,Community School,,Total number of schools community/institutional,,13,,,524 5 51 4 007,46
,Arnama Gaunpalika,SIRAHA,Arnama,Gaunpalika,2,16,159,20209,524 2 16 4 003,NP0216403,e_i_f_n_c_s,15,Community School,,Total number of schools community/institutional,,15,,,524 6 53 4 005,40
,Aurahi Gaunpalika,SIRAHA,Aurahi,Gaunpalika,2,16,160,20216,524 2 16 4 004,NP0216404,e_i_f_n_c_s,15,Community School,,Total number of schools community/institutional,,15,,,524 6 65 3 001,39
,Bariyarpatti Gaunpalika,SIRAHA,Bariyarpatti,Gaunpalika,2,16,161,20215,524 2 16 4 005,NP0216405,e_i_f_n_c_s,24,Community School,,Total number of schools community/institutional,,24,,,524 6 60 3 001,102
,Laxmipur Patari Gaunpalika,SIRAHA,Laxmipur Patari,Gaunpalika,2,16,169,20211,524 2 16 4 006,NP0216406,e_i_f_n_c_s,19,Community School,,Total number of schools community/institutional,,19,,,524 7 68 4 003,31
,Nawarajpur Gaunpalika,SIRAHA,Nawarajpur,Gaunpalika,2,16,172,20214,524 2 16 4 007,NP0216407,e_i_f_n_c_s,20,Community School,,Total number of schools community/institutional,,20,,,524 2 15 4 008,22
,Sakhuwanankarkatti Gaunpalika,SIRAHA,Sakhuwanankarkatti,Gaunpalika,2,16,173,20212,524 2 16 4 008,NP0216408,e_i_f_n_c_s,19,Community School,,Total number of schools community/institutional,,19,,,524 2 34 4 007,13
,Bhagawanpur Gaunpalika,SIRAHA,Bhagawanpur,Gaunpalika,2,16,162,20213,524 2 16 4 009,NP0216409,e_i_f_n_c_s,16,Community School,,Total number of schools community/institutional,,16,,,524 2 17 3 003,24
,Janakpur Upamahanagarpalika,DHANUSHA,Janakpur,Upamahanagarpalika,2,17,185,20315,524 2 17 2 001,NP0217201,e_i_f_n_c_s,61,Community School,,Total number of schools community/institutional,,61,,,524 1 09 4 004,21
,Mithila Nagarpalika,DHANUSHA,Mithila,Nagarpalika,2,17,188,20303,524 2 17 3 001,NP0217301,e_i_f_n_c_s,29,Community School,,Total number of schools community/institutional,,29,,,524 6 59 4 003,31
,Ganeshman Charnath Nagarpalika,DHANUSHA,Ganeshman Charnath,Nagarpalika,2,17,182,20301,524 2 17 3 002,NP0217302,e_i_f_n_c_s,20,Community School,,Total number of schools community/institutional,,20,,,524 1 13 4 006,44
,Chhireshwornath Nagarpalika,DHANUSHA,Chhireshwornath,Nagarpalika,2,17,179,20305,524 2 17 3 003,NP0217303,e_i_f_n_c_s,24,Community School,,Total number of schools community/institutional,,24,,,524 3 23 3 002,86
,Dhanusadham Nagarpalika,DHANUSHA,Dhanusadham,Nagarpalika,2,17,181,20302,524 2 17 3 004,NP0217304,e_i_f_n_c_s,21,Community School,,Total number of schools community/institutional,,21,,,524 1 03 4 004,23
,Mithila Bihari Nagarpalika,DHANUSHA,Mithila Bihari,Nagarpalika,2,17,189,20307,524 2 17 3 005,NP0217305,e_i_f_n_c_s,15,Community School,,Total number of schools community/institutional,,15,,,524 4 36 4 001,24
,Sabaila Nagarpalika,DHANUSHA,Sabaila,Nagarpalika,2,17,192,20309,524 2 17 3 006,NP0217306,e_i_f_n_c_s,26,Community School,,Total number of schools community/institutional,,26,,,524 7 71 4 001,42
,Hansapur Nagarpalika,DHANUSHA,Hansapur,Nagarpalika,2,17,183,20308,524 2 17 3 007,NP0217307,e_i_f_n_c_s,23,Community School,,Total number of schools community/institutional,,23,,,524 2 15 3 007,25
,Sahidnagar Nagarpalika,DHANUSHA,Sahidnagar,Nagarpalika,2,17,193,20310,524 2 17 3 008,NP0217308,e_i_f_n_c_s,30,Community School,,Total number of schools community/institutional,,30,,,524 3 27 3 010,24
,Nagarain Nagarpalika,DHANUSHA,Nagarain,Nagarpalika,2,17,191,20317,524 2 17 3 009,NP0217309,e_i_f_n_c_s,16,Community School,,Total number of schools community/institutional,,16,,,524 4 45 4 002,11
,Bideha Nagarpalika,DHANUSHA,Bideha,Nagarpalika,2,17,178,20313,524 2 17 3 010,NP0217310,e_i_f_n_c_s,15,Community School,,Total number of schools community/institutional,,15,,,524 1 04 3 001,25
,Kamala Nagarpalika,DHANUSHA,Kamala,Nagarpalika,2,17,186,20311,524 2 17 3 011,NP0217311,e_i_f_n_c_s,17,Community School,,Total number of schools community/institutional,,17,,,524 5 56 4 002,15
,Bateshwor Gaunpalika,DHANUSHA,Bateshwor,Gaunpalika,2,17,177,20304,524 2 17 4 001,NP0217401,e_i_f_n_c_s,21,Community School,,Total number of schools community/institutional,,21,,,524 6 53 4 002,35
,Lakshminiya Gaunpalika,DHANUSHA,Lakshminiya,Gaunpalika,2,17,187,20306,524 2 17 4 002,NP0217402,e_i_f_n_c_s,24,Community School,,Total number of schools community/institutional,,24,,,524 7 74 3 001,57
,Aaurahi Gaunpalika,DHANUSHA,Aaurahi,Gaunpalika,2,17,176,20404,524 2 17 4 003,NP0217403,e_i_f_n_c_s,10,Community School,,Total number of schools community/institutional,,10,,,524 1 03 3 001,54
,Dhanauji Gaunpalika,DHANUSHA,Dhanauji,Gaunpalika,2,17,180,20316,524 2 17 4 004,NP0217404,e_i_f_n_c_s,10,Community School,,Total number of schools community/institutional,,10,,,524 4 47 3 003,28
,Mukhiyapatti Musarmiya Gaunpalika,DHANUSHA,Mukhiyapatti Musarmiya,Gaunpalika,2,17,190,20318,524 2 17 4 005,NP0217405,e_i_f_n_c_s,10,Community School,,Total number of schools community/institutional,,10,,,524 5 48 3 002,33
,Janaknandani Gaunpalika,DHANUSHA,Janaknandani,Gaunpalika,2,17,184,20312,524 2 17 4 006,NP0217406,e_i_f_n_c_s,13,Community School,,Total number of schools community/institutional,,13,,,524 4 40 4 006,45
,Bardibas Nagarpalika,MAHOTTARI,Bardibas,Nagarpalika,2,18,196,20401,524 2 18 3 001,NP0218301,e_i_f_n_c_s,56,Community School,,Total number of schools community/institutional,,56,,,524 2 33 4 007,11
,Gaushala Nagarpalika,MAHOTTARI,Gaushala,Nagarpalika,2,18,199,20402,524 2 18 3 002,NP0218302,e_i_f_n_c_s,36,Community School,,Total number of schools community/institutional,,36,,,524 2 32 3 007,17
,Aurahi Nagarpalika,MAHOTTARI,Aurahi,Nagarpalika,2,18,194,20216,524 2 18 3 003,NP0218303,e_i_f_n_c_s,17,Community School,,Total number of schools community/institutional,,17,,,524 1 06 4 005,29
,Bhangaha Nagarpalika,MAHOTTARI,Bhangaha,Nagarpalika,2,18,197,20405,524 2 18 3 004,NP0218304,e_i_f_n_c_s,37,Community School,,Total number of schools community/institutional,,37,,,524 7 69 4 005,45
,Ramgopalpur Nagarpalika,MAHOTTARI,Ramgopalpur,Nagarpalika,2,18,206,20408,524 2 18 3 005,NP0218305,e_i_f_n_c_s,18,Community School,,Total number of schools community/institutional,,18,,,524 2 19 4 003,7
,Manra Siswa Nagarpalika,MAHOTTARI,Manra Siswa,Nagarpalika,2,18,203,20410,524 2 18 3 006,NP0218306,e_i_f_n_c_s,27,Community School,,Total number of schools community/institutional,,27,,,524 1 05 4 008,26
,Balwa Nagarpalika,MAHOTTARI,Balwa,Nagarpalika,2,18,195,20407,524 2 18 3 007,NP0218307,e_i_f_n_c_s,29,Community School,,Total number of schools community/institutional,,29,,,524 2 17 4 004,10
,Loharpatti Nagarpalika,MAHOTTARI,Loharpatti,Nagarpalika,2,18,201,20406,524 2 18 3 008,NP0218308,e_i_f_n_c_s,22,Community School,,Total number of schools community/institutional,,22,,,524 7 71 2 001,84
,Jaleswor Nagarpalika,MAHOTTARI,Jaleswor,Nagarpalika,2,18,200,20415,524 2 18 3 009,NP0218309,e_i_f_n_c_s,38,Community School,,Total number of schools community/institutional,,38,,,524 2 16 3 004,34
,Matihani Nagarpalika,MAHOTTARI,Matihani,Nagarpalika,2,18,204,20414,524 2 18 3 010,NP0218310,e_i_f_n_c_s,14,Community School,,Total number of schools community/institutional,,14,,,524 1 07 3 003,42
,Sonama Gaunpalika,MAHOTTARI,Sonama,Gaunpalika,2,18,208,20403,524 2 18 4 001,NP0218401,e_i_f_n_c_s,18,Community School,,Total number of schools community/institutional,,18,,,524 2 17 3 004,21
,Samsi Gaunpalika,MAHOTTARI,Samsi,Gaunpalika,2,18,207,20409,524 2 18 4 002,NP0218402,e_i_f_n_c_s,11,Community School,,Total number of schools community/institutional,,11,,,524 1 06 2 001,60
,Ekadara Gaunpalika,MAHOTTARI,Ekadara,Gaunpalika,2,18,198,20411,524 2 18 4 003,NP0218403,e_i_f_n_c_s,17,Community School,,Total number of schools community/institutional,,17,,,524 4 36 4 004,27
,Mahottari Gaunpalika,MAHOTTARI,Mahottari,Gaunpalika,2,18,202,20412,524 2 18 4 004,NP0218404,e_i_f_n_c_s,12,Community School,,Total number of schools community/institutional,,12,,,524 1 09 3 004,37
,Pipra Gaunpalika,MAHOTTARI,Pipra,Gaunpalika,2,18,205,20413,524 2 18 4 005,NP0218405,e_i_f_n_c_s,23,Community School,,Total number of schools community/institutional,,23,,,524 4 44 4 001,28
,Bagmati Nagarpalika,SARLAHI,Bagmati,Nagarpalika,2,19,209,20503,524 2 19 3 001,NP0219301,e_i_f_n_c_s,14,Community School,,Total number of schools community/institutional,,14,,,524 2 34 4 006,11
,Hariwan Nagarpalika,SARLAHI,Hariwan,Nagarpalika,2,19,221,20502,524 2 19 3 002,NP0219302,e_i_f_n_c_s,30,Community School,,Total number of schools community/institutional,,30,,,524 6 53 4 003,28
,Lalbandi Nagarpalika,SARLAHI,Lalbandi,Nagarpalika,2,19,225,20501,524 2 19 3 003,NP0219303,e_i_f_n_c_s,52,Community School,,Total number of schools community/institutional,,52,,,524 4 43 3 001,42
,Barahathawa Nagarpalika,SARLAHI,Barahathawa,Nagarpalika,2,19,211,20504,524 2 19 3 004,NP0219304,e_i_f_n_c_s,35,Community School,,Total number of schools community/institutional,,35,,,524 1 11 4 006,53
,Haripur Nagarpalika,SARLAHI,Haripur,Nagarpalika,2,19,219,20505,524 2 19 3 005,NP0219305,e_i_f_n_c_s,21,Community School,,Total number of schools community/institutional,,21,,,524 1 11 4 004,40
,Ishworpur Nagarpalika,SARLAHI,Ishworpur,Nagarpalika,2,19,222,20506,524 2 19 3 006,NP0219306,e_i_f_n_c_s,47,Community School,,Total number of schools community/institutional,,47,,,524 3 24 3 003,27
,Kabilasi Nagarpalika,SARLAHI,Kabilasi,Nagarpalika,2,19,223,20511,524 2 19 3 007,NP0219307,e_i_f_n_c_s,15,Community School,,Total number of schools community/institutional,,15,,,524 3 30 3 002,41
,Godaita Nagarpalika,SARLAHI,Godaita,Nagarpalika,2,19,218,20517,524 2 19 3 008,NP0219308,e_i_f_n_c_s,23,Community School,,Total number of schools community/institutional,,23,,,524 5 51 4 003,49
,Malangawa Nagarpalika,SARLAHI,Malangawa,Nagarpalika,2,19,226,20520,524 2 19 3 009,NP0219309,e_i_f_n_c_s,23,Community School,,Total number of schools community/institutional,,23,,,524 7 74 4 001,57
,Haripurwa Nagarpalika,SARLAHI,Haripurwa,Nagarpalika,2,19,220,20507,524 2 19 3 010,NP0219310,e_i_f_n_c_s,14,Community School,,Total number of schools community/institutional,,14,,,524 7 70 3 002,44
,Balara Nagarpalika,SARLAHI,Balara,Nagarpalika,2,19,210,20516,524 2 19 3 011,NP0219311,e_i_f_n_c_s,27,Community School,,Total number of schools community/institutional,,27,,,524 1 12 4 004,50
,Basbariya Gaunpalika,SARLAHI,Basbariya,Gaunpalika,2,19,212,20513,524 2 19 4 001,NP0219401,e_i_f_n_c_s,12,Community School,,Total number of schools community/institutional,,12,,,524 7 74 4 002,60
,Chandranagar Gaunpalika,SARLAHI,Chandranagar,Gaunpalika,2,19,216,20510,524 2 19 4 002,NP0219402,e_i_f_n_c_s,11,Community School,,Total number of schools community/institutional,,11,,,524 6 62 4 003,2
,Dhankaul Gaunpalika,SARLAHI,Dhankaul,Gaunpalika,2,19,217,20514,524 2 19 4 003,NP0219403,e_i_f_n_c_s,7,Community School,,Total number of schools community/institutional,,7,,,524 3 21 4 002,53
,Chakraghatta Gaunpalika,SARLAHI,Chakraghatta,Gaunpalika,2,19,215,20512,524 2 19 4 004,NP0219404,e_i_f_n_c_s,15,Community School,,Total number of schools community/institutional,,15,,,524 4 37 4 003,55
,Ramnagar Gaunpalika,SARLAHI,Ramnagar,Gaunpalika,2,19,228,20515,524 2 19 4 005,NP0219405,e_i_f_n_c_s,18,Community School,,Total number of schools community/institutional,,18,,,524 4 37 4 004,35
,Kaudena Gaunpalika,SARLAHI,Kaudena,Gaunpalika,2,19,224,20519,524 2 19 4 006,NP0219406,e_i_f_n_c_s,14,Community School,,Total number of schools community/institutional,,14,,,524 3 20 3 002,80
,Bramhapuri Gaunpalika,SARLAHI,Bramhapuri,Gaunpalika,2,19,214,20509,524 2 19 4 007,NP0219407,e_i_f_n_c_s,7,Community School,,Total number of schools community/institutional,,7,,,524 5 57 4 004,36
,Bishnu Gaunpalika,SARLAHI,Bishnu,Gaunpalika,2,19,213,20518,524 2 19 4 008,NP0219408,e_i_f_n_c_s,7,Community School,,Total number of schools community/institutional,,7,,,524 1 06 3 004,35
,Parsa Gaunpalika,SARLAHI,Parsa,Gaunpalika,2,19,227,20508,524 2 19 4 009,NP0219409,e_i_f_n_c_s,13,Community School,,Total number of schools community/institutional,,13,,,524 7 75 4 002,19
,Gujara Nagarpalika,RAUTAHAT,Gujara,Nagarpalika,2,32,353,20602,524 2 32 3 001,NP0232301,e_i_f_n_c_s,27,Community School,,Total number of schools community/institutional,,27,,,524 5 54 4 002,43
,Chandrapur Nagarpalika,RAUTAHAT,Chandrapur,Nagarpalika,2,32,347,20601,524 2 32 3 002,NP0232302,e_i_f_n_c_s,52,Community School,,Total number of schools community/institutional,,52,,,524 6 61 3 003,58
,Phatuwa Bijayapur Nagarpalika,RAUTAHAT,Phatuwa Bijayapur,Nagarpalika,2,32,359,20603,524 2 32 3 003,NP0232303,e_i_f_n_c_s,22,Community School,,Total number of schools community/institutional,,22,,,524 6 61 4 006,31
,Katahariya Nagarpalika,RAUTAHAT,Katahariya,Nagarpalika,2,32,355,20604,524 2 32 3 004,NP0232304,e_i_f_n_c_s,24,Community School,,Total number of schools community/institutional,,24,,,524 3 28 4 008,52
,Brindaban Nagarpalika,RAUTAHAT,Brindaban,Nagarpalika,2,32,346,20605,524 2 32 3 005,NP0232305,e_i_f_n_c_s,23,Community School,,Total number of schools community/institutional,,23,,,524 2 32 4 002,23
,Maulapur Nagarpalika,RAUTAHAT,Maulapur,Nagarpalika,2,32,357,20610,524 2 32 3 006,NP0232306,e_i_f_n_c_s,24,Community School,,Total number of schools community/institutional,,24,,,524 7 67 4 006,29
,Dewahhi Gonahi Nagarpalika,RAUTAHAT,Dewahhi Gonahi,Nagarpalika,2,32,348,20609,524 2 32 3 007,NP0232307,e_i_f_n_c_s,17,Community School,,Total number of schools community/institutional,,17,,,524 2 18 4 003,17
,Garuda Nagarpalika,RAUTAHAT,Garuda,Nagarpalika,2,32,351,20608,524 2 32 3 008,NP0232308,e_i_f_n_c_s,30,Community School,,Total number of schools community/institutional,,30,,,524 1 03 4 001,42
,Gadhimai Nagarpalika,RAUTAHAT,Gadhimai,Nagarpalika,2,32,350,20606,524 2 32 3 009,NP0232309,e_i_f_n_c_s,25,Community School,,Total number of schools community/institutional,,25,,,524 1 02 4 003,47
,Baudhimai Nagarpalika,RAUTAHAT,Baudhimai,Nagarpalika,2,32,345,20611,524 2 32 3 010,NP0232310,e_i_f_n_c_s,12,Community School,,Total number of schools community/institutional,,12,,,524 1 02 4 005,40
,Madhav Narayan Nagarpalika,RAUTAHAT,Madhav Narayan,Nagarpalika,2,32,356,20607,524 2 32 3 011,NP0232311,e_i_f_n_c_s,22,Community School,,Total number of schools community/institutional,,22,,,524 5 56 4 006,32
,Paroha Nagarpalika,RAUTAHAT,Paroha,Nagarpalika,2,32,358,20612,524 2 32 3 012,NP0232312,e_i_f_n_c_s,23,Community School,,Total number of schools community/institutional,,23,,,524 1 06 4 003,27
,Ishanath Nagarpalika,RAUTAHAT,Ishanath,Nagarpalika,2,32,354,20618,524 2 32 3 013,NP0232313,e_i_f_n_c_s,29,Community School,,Total number of schools community/institutional,,29,,,524 2 32 3 009,25
,Rajpur Nagarpalika,RAUTAHAT,Rajpur,Nagarpalika,2,32,361,20613,524 2 32 3 014,NP0232314,e_i_f_n_c_s,21,Community School,,Total number of schools community/institutional,,21,,,524 5 48 4 003,31
,Gaur Nagarpalika,RAUTAHAT,Gaur,Nagarpalika,2,32,352,20617,524 2 32 3 015,NP0232315,e_i_f_n_c_s,30,Community School,,Total number of schools community/institutional,,30,,,524 4 47 3 004,31
,Rajdevi Nagarpalika,RAUTAHAT,Rajdevi,Nagarpalika,2,32,360,20616,524 2 32 3 016,NP0232316,e_i_f_n_c_s,22,Community School,,Total number of schools community/institutional,,22,,,524 3 30 4 009,47
,Yemunamai Gaunpalika,RAUTAHAT,Yemunamai,Gaunpalika,2,32,362,20614,524 2 32 4 001,NP0232401,e_i_f_n_c_s,17,Community School,,Total number of schools community/institutional,,17,,,524 3 30 4 010,42
,Durga Bhagwati Gaunpalika,RAUTAHAT,Durga Bhagwati,Gaunpalika,2,32,349,20615,524 2 32 4 002,NP0232402,e_i_f_n_c_s,23,Community School,,Total number of schools community/institutional,,23,,,524 4 43 3 002,73
,Jitpur Simara Upamahanagarpalika,BARA,Jitpur Simara,Upamahanagarpalika,2,33,367,20703,524 2 33 2 001,NP0233201,e_i_f_n_c_s,61,Community School,,Total number of schools community/institutional,,61,,,524 4 41 3 003,60
,Kalaiya Upamahanagarpalika,BARA,Kalaiya,Upamahanagarpalika,2,33,368,20708,524 2 33 2 002,NP0233202,e_i_f_n_c_s,67,Community School,,Total number of schools community/institutional,,67,,,524 4 36 4 009,49
