District ,Name of municipalities,HLCIT_CODE,cbs code,Total,Without any toilet facility,Flush Toilet ,Ordinary Toilet ,Toilet Facility not stated
Saptari,Saptakoshi Municipality,524 2 15 3 004,20101,4539,2775,921,791,52
Saptari,Shambhunath Municipality,524 2 15 3 003,20105,6764,5761,608,334,61
Saptari,Surunga Municipality,524 2 15 3 001,20107,8650,7668,559,335,88
Saptari,Tilathi Koiladi Gaunpalika,524 2 15 4 009,20117,5697,4699,651,325,22
Saptari,Tirahut Gaunpalika,524 2 15 4 003,20115,4078,3546,280,180,72
Sarlahi,Bagmati Municipality,524 2 19 3 001,20503,7984,5261,1772,884,67
Sarlahi,Balara Municipality,524 2 19 3 011,20516,7693,5719,643,1248,83
Sarlahi,Barahathawa Municipality,524 2 19 3 004,20504,11853,8914,2286,504,149
Sarlahi,Basbariya Gaunpalika,524 2 19 4 001,20513,3699,3208,292,172,27
Sarlahi,Bishnu Gaunpalika,524 2 19 4 008,20518,4008,3228,395,291,94
Sarlahi,Brahmapuri Gaunpalika,524 2 19 4 007,20509,4735,3567,758,343,67
Sarlahi,Chakraghatta Gaunpalika,524 2 19 4 004,20512,4409,3769,415,183,42
Sarlahi,Chandranagar Gaunpalika,524 2 19 4 002,20510,5540,4918,341,233,48
Sarlahi,Dhanakaul Gaunpalika,524 2 19 4 003,20514,3964,3463,299,141,61
Sarlahi,Godaita Municipality,524 2 19 3 008,20517,7902,6375,856,525,146
Sarlahi,Haripur Municipality,524 2 19 3 005,20505,6517,5053,1107,292,65
Sarlahi,Haripurwa Municipality,524 2 19 3 010,20507,5904,5113,531,217,43
Sarlahi,Hariwan Municipality,524 2 19 3 002,20502,8601,4353,2656,1500,92
Sarlahi,Ishworpur Municipality,524 2 19 3 006,20506,11073,8546,1930,458,139
Sarlahi,Kabilashi Municipality,524 2 19 3 007,20511,6871,5718,820,263,70
Sarlahi,Kaudena Gaunpalika,524 2 19 4 006,20519,4073,3309,559,171,34
Sarlahi,Lalbandi Municipality,524 2 19 3 003,20501,12238,6465,4120,1571,82
Sarlahi,Malangawa Municipality,524 2 19 3 009,20520,7912,4083,2962,794,73
Sarlahi,Parsa Gaunpalika,524 2 19 4 009,20508,3342,2762,240,306,34
Sarlahi,Ramnagar Gaunpalika,524 2 19 4 005,20515,4485,3896,201,348,40
Sindhuli,Dudhouli Municipality,524 3 20 3 002,31101,13164,9474,2498,1118,74
Sindhuli,Ghyanglekha Gaunpalika,524 3 20 4 003,31107,2457,2257,72,117,11
Sindhuli,Golanjor Gaunpalika,524 3 20 4 005,31104,3681,2712,621,333,15
Sindhuli,Hariharpurgaghi Gaunpalika,524 3 20 4 001,31109,4586,4305,101,156,24
Sindhuli,Kamalamai Municipality,524 3 20 3 001,31105,14315,5567,6379,2332,37
Sindhuli,Marin Gaunpalika,524 3 20 4 002,31108,4870,4203,483,168,16
Sindhuli,Phikkal Gaunpalika,524 3 20 4 007,31102,3035,2434,232,349,20
Sindhuli,Sunkoshi Gaunpalika,524 3 20 4 004,10407,4557,2814,1424,307,12
Sindhuli,Tinpatan Gaunpalika,524 3 20 4 006,31103,6879,4471,1010,1375,23
Sindhupalchok,Bahrabise Municipality,524 3 23 3 003,30209,6225,2335,2278,1586,26
Sindhupalchok,Balephi Gaunpalika,524 3 23 4 006,30208,4429,1311,2114,982,22
Sindhupalchok,Bhotekoshi Gaunpalika,524 3 23 4 004,30201,4183,2073,1162,929,19
Sindhupalchok,Choutara Sangachowkgadhi Municipality,524 3 23 3 002,30207,10906,2498,5478,2824,106
Sindhupalchok,Helambu Gaunpalika,524 3 23 4 001,30204,4203,1144,661,2377,21
Sindhupalchok,Indrawoti Gaunpalika,524 3 23 4 005,30206,6211,2479,1878,1821,33
Sindhupalchok,Jugal Gaunpalika,524 3 23 4 003,30202,3941,2637,619,661,24
Sindhupalchok,Lisankhu Pakhar Gaunpalika,524 3 23 4 009,30211,3680,1206,1581,884,9
Sindhupalchok,Melanchi Municipality,524 3 23 3 001,30205,10097,4084,2923,3042,48
Sindhupalchok,Panchpokhari Thangpal Gaunpalika,524 3 23 4 002,30203,5007,2206,1246,1526,29
Sindhupalchok,Sunkoshi Gaunpalika,524 3 23 4 007,10407,4359,772,2412,1152,23
Sindhupalchok,Tripurasundari Gaunpalika,524 3 23 4 008,30210,3394,1155,1186,1050,3
Siraha,Arnama Gaunpalika,524 2 16 4 003,20209,4047,3681,271,53,42
Siraha,Aurahi Gaunpalika,524 2 16 4 004,20216,4245,3821,241,116,67
Siraha,Bariyarpatti Gaunpalika,524 2 16 4 005,20215,4264,3908,227,101,28
Siraha,Bhagawanpur Gaunpalika,524 2 16 4 009,20213,3661,3143,217,260,41
Siraha,Bishnupur Gaunpalika,524 2 16 4 002,20112,3469,3033,343,85,8
Siraha,Dhangadhimai Municipality,524 2 16 3 004,20202,8757,7268,744,631,114
Siraha,Golbazar Municipality,524 2 16 3 003,20203,10110,7419,1511,1115,65
Siraha,Kalyanpur Municipality,524 2 16 3 006,20206,9391,7626,1264,398,103
Siraha,Karjanha Municipality,524 2 16 3 001,20205,6088,4730,760,554,44
Siraha,Lahan Municipality,524 2 16 3 005,20201,17182,11002,3971,2076,133
Siraha,Laxmipur Patari Gaunpalika,524 2 16 4 006,20211,4830,4391,255,160,24
Siraha,Mirchaiya Municipality,524 2 16 3 002,20204,9333,6703,1726,834,70
Siraha,Naraha Gaunpalika,524 2 16 4 001,20207,3673,3235,224,170,44
Siraha,Nawarajpur Gaunpalika,524 2 16 4 007,20214,3280,3042,177,46,15
Siraha,Sakhuwa Nankarkatti Gaunpalika,524 2 16 4 008,20212,3388,2736,309,328,15
Siraha,Siraha Municipality,524 2 16 3 008,20217,15477,11098,3022,1231,126
Siraha,Sukhipur Municipality,524 2 16 3 007,20210,6734,6018,416,272,28
Solukhumbu,Dhudha Koushika Gaunpalika,524 1 11 4 006,10305,4240,1112,1515,1602,11
Solukhumbu,Dhudhakoshi Gaunpalika,524 1 11 4 004,10304,2803,496,125,2178,4
Solukhumbu,Khumbu Pasanglhamu Gaunpalika,524 1 11 4 001,10301,2433,259,385,1786,3
Solukhumbu,Likhu Pike Gaunpalika,524 1 11 4 003,10308,1168,321,179,666,2
Solukhumbu,Mahakulung Gaunpalika,524 1 11 4 002,10302,2450,1377,430,642,1
Solukhumbu,Necha Salyan Gaunpalika,524 1 11 4 005,10306,3636,1004,887,1740,5
Solukhumbu,Solu Dhudhakunda Municipality,524 1 11 3 001,10307,4980,701,1347,2915,17
Solukhumbu,Sotang Gaunpalika,524 1 11 4 007,10303,2048,572,435,1035,6
Sunsari,Baraha Municipality,524 1 06 3 001,11302,17552,5745,7746,3982,79
Sunsari,Barju Gaunpalika,524 1 06 4 006,11312,6253,5231,760,242,20
Sunsari,Bhokraha Gaunpalika,524 1 06 4 002,11304,6798,5702,770,307,19
Sunsari,Dewangunj Gaunpalika,524 1 06 4 005,11311,6361,4916,715,717,13
Sunsari,Dharan Sub-Metropolitian City,524 1 06 2 001,11301,32693,955,23764,7736,238
Sunsari,Duhabi Municipality,524 1 06 3 004,11307,11893,5865,3184,2769,75
Sunsari,Gadhi Gaunpalika,524 1 06 4 003,11308,7039,5139,1162,696,42
Sunsari,Harinagara Gaunpalika,524 1 06 4 004,11310,6842,4782,1195,839,26
Sunsari,Inaruwa Municipality,524 1 06 3 003,11309,13020,5234,5816,1930,40
Sunsari,Itahari Sub-Metropolitian City,524 1 06 2 002,11306,33794,3802,18585,11166,241
Sunsari,Koshi Gaunpalika,524 1 06 4 001,11303,8543,5976,1310,1226,31
Sunsari,Ramdhuni Municipality,524 1 06 3 002,11305,11491,5183,4245,2018,45
Surkhet,Barahatal Gaunpalika,524 6 59 4 002,61007,5448,2368,1774,1283,23
Surkhet,Bheriganga Municipality,524 6 59 3 002,61005,8825,2906,2838,3044,37
Surkhet,Birendranagar Municipality,524 6 59 3 003,61006,23710,2780,15979,4807,144
Surkhet,Chaukune Gaunpalika,524 6 59 4 001,61009,4608,2586,1038,938,46
Surkhet,Chingad Gaunpalika,524 6 59 4 003,61002,2923,1210,245,1451,17
Surkhet,Gurbhakot Municipality,524 6 59 3 005,61004,9572,3038,3108,3375,51
Surkhet,Lekabeshi Municipality,524 6 59 3 004,61003,6346,1289,2700,2307,50
Surkhet,Panchapuri Municipality,524 6 59 3 001,61008,6304,1435,2782,2032,55
Surkhet,Simta Gaunpalika,524 6 59 4 004,61001,5094,3250,890,922,32
Syangja,Aandhikhola Gaunpalika,524 4 41 4 001,40903,4125,475,2410,1236,4
Syangja,Arjun Choupari Gaunpalika,524 4 41 4 003,40904,3938,615,2277,1036,10
Syangja,Bhirkot Municipaity,524 4 41 3 002,40905,6083,452,2800,2817,14
Syangja,Biruwa Gaunpalika,524 4 41 4 004,40906,4305,728,2039,1522,16
Syangja,Chapakot Municipality,524 4 41 3 005,40908,5934,828,2563,2527,16
Syangja,Galyang Municipality,524 4 41 3 003,40910,8275,885,3920,3459,11
Syangja,Harinas Gaunpalika,524 4 41 4 005,40907,3906,568,1369,1948,21
Syangja,Kaligandaki Gaunpalika,524 4 41 4 006,40911,4972,271,2635,2059,7
Syangja,Phedikhola Gaunpalika,524 4 41 4 002,40902,3254,342,2411,498,3
Syangja,Putalibazar Municipality,524 4 41 3 001,40901,11882,1135,8465,2265,17
Syangja,Walling Municipality,524 4 41 3 004,40909,12182,853,6340,4937,52
Tanahu,Aanbu Khaireni Gaunpalika,524 4 40 4 005,40710,4911,912,3243,742,14
Tanahu,Bandipur Gaunpalika,524 4 40 4 004,40709,4853,664,2715,1444,30
Tanahu,Bhanu Municipality,524 4 40 3 003,40701,12095,2057,6991,2960,87
Tanahu,Bhimad Municipality,524 4 40 3 004,40705,7488,1583,4384,1429,92
Tanahu,Byas Municipality,524 4 40 3 002,40702,18339,1585,13749,2898,107
Tanahu,Devghat Gaunpalika,524 4 40 4 006,40708,3435,358,2421,637,19
Tanahu,Ghiring Gaunpalika,524 4 40 4 002,40706,4137,1410,1792,921,14
Tanahu,Myagde Gaunpalika,524 4 40 4 001,40703,5628,1232,2888,1487,21
Tanahu,Rhishing Gaunpalika,524 4 40 4 003,40707,5215,1766,2441,989,19
Tanahu,Shuklagandaki Municipality,524 4 40 3 001,40704,12185,1056,9159,1938,32
Taplejung,Aatharai Tribeni Gaunpalika,524 1 01 4 006,10105,2888,912,301,1669,6
Taplejung,Maiwakhola Gaunpalika,524 1 01 4 005,10104,2194,454,207,1518,15
Taplejung,Meringden Gaunpalika,524 1 01 4 004,10103,2578,1056,325,1180,17
Taplejung,Mikwakhola Gaunpalika,524 1 01 4 002,10102,1869,669,197,995,8
Taplejung,Phaktanlung Gaunpalika,524 1 01 4 001,10101,2525,951,97,1453,24
Taplejung,Phungling Municipality,524 1 01 3 001,10106,5986,797,1952,3217,20
Taplejung,Sidingba Gaunpalika,524 1 01 4 008,10109,2370,543,365,1447,15
Taplejung,Sirijanga Gaunpalika,524 1 01 4 003,10108,3227,953,561,1694,19
Taplejung,Yangwarak Gaunpalika,524 1 01 4 007,10107,2834,586,758,1483,7
Terhathum,Aatharai Gaunpalika,524 1 08 4 003,10801,4578,2021,635,1901,21
Terhathum,Chhathar Gaunpalika,524 1 08 4 004,10806,3636,830,687,2105,14
Terhathum,Laligurans Municipality,524 1 08 3 001,10805,3677,619,1360,1688,10
Terhathum,Menchhayayem Gaunpalika,524 1 08 4 001,10803,1794,326,361,1101,6
Terhathum,Myanglung Municipality,524 1 08 3 002,10804,4595,553,1990,2044,8
Terhathum,Phedap Gaunpalika,524 1 08 4 002,10802,3804,1135,579,2076,14
Udayapur,Belaka Municipality,524 1 14 3 004,11401,8930,5422,1624,1864,20
Udayapur,Chaudandigadhi Municipality,524 1 14 3 003,11402,10519,4263,3843,2403,10
Udayapur,Katari Municipality,524 1 14 3 001,11407,11717,5604,3372,2681,60
Udayapur,Rautamai Gaunpalika,524 1 14 4 004,11404,4666,2757,979,904,26
Udayapur,Sunkoshi Gaunpalika,524 1 14 4 002,10407,2316,1464,27,820,5
Udayapur,Tapli Gaunpalika,524 1 14 4 001,11406,2703,998,462,1224,19
Udayapur,Triyuga Municipality,524 1 14 3 002,11403,19484,7632,8045,3748,59
Udayapur,Udayapurgadhi Gaunpalika,524 1 14 4 003,11408,6179,4021,1281,868,9
