District ,Name of municipalities,HLCIT_CODE,cbs code,Total,Without any toilet facility,Flush Toilet ,Ordinary Toilet ,Toilet Facility not stated
Dadeldhura,Nawadurga Gaunpalika,524 7 73 4 003,70501,4132,2601,998,517,16
Dadeldhura,Parashuram Municipality,524 7 73 3 001,70505,5990,3198,1694,1065,33
Dailekh,Aathbis Municipality,524 6 61 3 001,60801,5263,3020,1502,714,27
Dailekh,Bhagawatimai Gaunpalika,524 6 61 4 007,60609,3359,622,2379,345,13
Dailekh,Bhairabi Gaunpalika,524 6 61 4 002,60603,3976,2291,992,678,15
Dailekh,Chamunda Bindrasaini Municipality,524 6 61 3 002,60606,4634,3481,391,740,22
Dailekh,Dullu Municipality,524 6 61 3 003,60607,8164,5099,1909,1093,63
Dailekh,Dungeshwor Gaunpalika,524 6 61 4 006,60610,3044,762,1820,436,26
Dailekh,Gurans Gaunpalika,524 6 61 4 005,60611,4096,1308,2082,680,26
Dailekh,Mahabu Gaunpalika,524 6 61 4 003,60602,3553,1991,1045,493,24
Dailekh,Narayan Municipality,524 6 61 3 004,60608,5791,2316,2364,1069,42
Dailekh,Naumule Gaunpalika,524 6 61 4 004,60601,3708,2666,612,396,34
Dailekh,Thantikandh Gaunpalika,524 6 61 4 001,60604,3327,1406,1583,297,41
Dang,Babai Gaunpalika,524 5 56 4 001,51005,5945,2817,1601,1502,25
Dang,Bangalachuli Gaunpalika,524 5 56 4 005,51001,4730,2962,1044,703,21
Dang,Dangisharan Gaunpalika,524 5 56 4 002,51006,4455,2148,1759,534,14
Dang,Gadhawa Gaunpalika,524 5 56 4 006,51009,7267,4628,1438,1162,39
Dang,Ghorahi Sub-Metropolitian City,524 5 56 2 002,51002,35419,8272,22253,4758,136
Dang,Lamahi Municipality,524 5 56 3 001,51007,9432,4764,3566,1052,50
Dang,Rajpur Gaunpalika,524 5 56 4 004,20613,4473,3805,439,210,19
Dang,Rapti Gaunpalika,524 5 56 4 007,31301,8055,3224,3286,1464,81
Dang,Shantinagar Gaunpalika,524 5 56 4 003,51004,5328,2334,1955,1026,13
Dang,Tulsipur Sub-Metropolitian City,524 5 56 2 001,51003,31243,10580,15559,4931,173
Darchula,Apihimal Gaunpalika,524 7 75 4 003,70305,1085,445,497,141,2
Darchula,Byas Gaunpalika,524 7 75 4 001,40702,1919,1200,548,160,11
Darchula,Duhun Gaunpalika,524 7 75 4 002,70302,1982,875,528,573,6
Darchula,Lekam Gaunpalika,524 7 75 4 006,70309,2851,2024,704,118,5
Darchula,Mahakali Municipality,524 7 75 3 001,70303,4526,1583,2665,267,11
Darchula,Malikarjun Gaunpalika,524 7 75 4 004,70308,3096,2024,981,86,5
Darchula,Marma Gaunpalika,524 7 75 4 007,70306,2508,1430,910,164,4
Darchula,Naugad  Gaunpalika,524 7 75 4 005,70304,2616,1037,1272,294,13
Darchula,Shailyashikhar Municipality,524 7 75 3 002,70307,4021,2487,1299,206,29
Dhading,Benighat Rorang Gaunpalika,524 3 30 4 008,30409,6169,1903,3004,1241,21
Dhading,Dhunibenshi Municipality,524 3 30 3 002,30413,6759,2000,3216,1528,15
Dhading,Gajuri Gaunpalika,524 3 30 4 009,30410,5600,2245,2439,886,30
Dhading,Galchhi Gaunpalika,524 3 30 4 010,30411,5410,2191,2203,991,25
Dhading,Ganga Jamuna Gaunpalika,524 3 30 4 002,30403,4864,1597,1982,1276,9
Dhading,Jwalamukhi Gaunpalika,524 3 30 4 006,30407,5730,951,2635,2130,14
Dhading,Khaniyabas Gaunpalika,524 3 30 4 003,30402,2651,1064,488,1073,26
Dhading,Netrawati Gaunpalika,524 3 30 4 005,30405,3121,791,1338,984,8
Dhading,Nilkhantha Municipality,524 3 30 3 001,30406,13984,2283,8649,3015,37
Dhading,Rubi Valley Gaunpalika,524 3 30 4 001,30401,2134,1429,178,514,13
Dhading,Siddhalek Gaunpalika,524 3 30 4 007,30408,5138,1461,2480,1166,31
Dhading,Thakre Gaunpalika,524 3 30 4 011,30412,6927,2525,2865,1523,14
Dhading,Tripurasundari Gaunpalika,524 3 30 4 004,60105,5355,1438,2839,1061,17
Dhankuta,Chaubise Gaunpalika,524 1 07 4 004,10707,4542,1194,848,2490,10
Dhankuta,Chhathar Jorpati Gaunpalika,524 1 07 4 002,10703,4232,960,976,2285,11
Dhankuta,Dhankuta Municipality,524 1 07 3 003,10704,9460,1105,4880,3441,34
Dhankuta,Khalsa Chhintang Sahidbhumi Gaunpalika,524 1 07 4 001,10705,3876,1106,1189,1578,3
Dhankuta,Mahalaxmi Municipality,524 1 07 3 001,10701,5482,1168,1257,3045,12
Dhankuta,Pakhribas Municipality,524 1 07 3 002,10702,4977,987,992,2989,9
Dhankuta,Sangurigadhi Gaunpalika,524 1 07 4 003,10706,5047,2048,1611,1377,11
Dhanusa,Aurahi Gaunpalika,524 2 17 4 003,20404,4003,2873,380,701,49
Dhanusa,Bateshwor Gaunpalika,524 2 17 4 001,20304,3671,2969,328,317,57
Dhanusa,Bideha Municipality,524 2 17 3 010,20313,5817,3519,723,1368,207
Dhanusa,Chhireshwornath Municipality,524 2 17 3 003,20305,7775,4966,1412,1294,103
Dhanusa,Dhanauji Gaunpalika,524 2 17 4 004,20316,3717,2916,351,343,107
Dhanusa,Dhanushadham Municipality,524 2 17 3 004,20302,8715,7142,662,807,104
Dhanusa,Ganeshman Charnath Municipality,524 2 17 3 002,20301,7037,5776,822,344,95
Dhanusa,Hansapur Municipality,524 2 17 3 007,20308,6912,5346,622,847,97
Dhanusa,Janak Nandini Gaunpalika,524 2 17 4 006,20312,4461,3383,490,515,73
Dhanusa,Janakpur Sub-Metropolitian City,524 2 17 2 001,20315,30589,9463,13210,7372,544
Dhanusa,Kamala Municipality,524 2 17 3 011,20311,6999,6294,291,295,119
Dhanusa,Laxminiya Gaunpalika,524 2 17 4 002,20306,4995,3299,835,828,33
Dhanusa,Mithila Bihari Municipality,524 2 17 3 005,20307,6066,4557,896,475,138
Dhanusa,Mithila Municipality,524 2 17 3 001,20303,8229,5338,744,2061,86
Dhanusa,Mukhiyapatti Musaharmiya Gaunpalika,524 2 17 4 005,20318,4130,3419,249,423,39
Dhanusa,Nagarain Municipality,524 2 17 3 009,20317,6365,4661,676,973,55
Dhanusa,Sabaila Municipality,524 2 17 3 006,20309,10073,6767,1222,1829,255
Dhanusa,Shahidnagar Municipality,524 2 17 3 008,20310,8671,7004,812,669,186
Dolakha,Baitedhar Gaunpalika,524 3 22 4 004,20304,5079,1094,2429,1549,7
Dolakha,Bhimeshwor Municipality,524 3 22 3 001,30109,8639,991,4636,2990,22
Dolakha,Bigu Gaunpalika,524 3 22 4 001,30102,4418,1490,1013,1898,17
Dolakha,Gaurishankar Gaunpalika,524 3 22 4 002,30101,4067,1686,991,1364,26
Dolakha,Jiri Municipality,524 3 22 3 002,30105,3854,1698,1480,670,6
Dolakha,Kalinchowk Gaunpalika,524 3 22 4 003,30103,5457,1279,1925,2239,14
Dolakha,Melung Gaunpalika,524 3 22 4 006,30107,4841,2250,1468,1105,18
