Districts,Palika,HLCIT_CODE,CBS_Code,Age_greater5_M,R_nd_W_M,R_only_M,No_R_nd_W_M,Not_stated_M,Litracy_rate_M,Age_greater5_F,R_nd_W_F,R_only_F,No_R_nd_W_F,Not_stated_F,Litracy_rate_F
Palpa,Baganaskali Gaunpalika,524 5 46 4 005,50604,8108,7108,164,832,4,87.67,11538,8129,194,3211,4,70.45
Palpa,Mathagadhi Gaunpalika,524 5 46 4 004,50609,9894,8105,294,1488,7,81.92,12716,8453,407,3846,10,66.48
Palpa,Nisdi Gaunpalika,524 5 46 4 008,50610,8954,7072,319,1561,2,78.98,11155,6933,418,3793,11,62.15
Palpa,Purbakhola Gaunpalika,524 5 46 4 006,50602,7520,6222,195,1101,2,82.74,10020,6772,297,2944,7,67.58
Palpa,Rainadevi Chhahara Gaunpalika,524 5 46 4 001,50607,10230,8517,208,1501,4,83.26,13462,9155,345,3943,19,68.01
Palpa,Rambha Gaunpalika,524 5 46 4 007,50603,7575,6307,224,1043,1,83.26,10804,7318,361,3121,4,67.73
Palpa,Rampur Municipality,524 5 46 3 002,50601,13729,11505,349,1869,6,83.8,18389,12685,523,5175,6,68.98
Palpa,Ribdikot Gaunpalika,524 5 46 4 003,50606,7123,5969,94,1056,4,83.8,9963,6841,133,2985,4,68.66
Palpa,Tansen Municipality,524 5 46 3 001,50605,20750,18811,433,1501,5,90.66,25811,19985,571,5245,10,77.43
Palpa,Tinau Gaunpalika,524 5 46 4 002,50608,7848,6527,129,1190,2,83.17,9325,6200,201,2910,14,66.49
Panchthar,Falelung Gaunpalika,524 1 02 4 003,10903,9425,7385,309,1731,0,78.36,10588,6791,368,3429,0,64.14
Panchthar,Falgunanda Gaunpalika,524 1 02 4 005,10905,10003,7824,456,1720,3,78.22,11852,7526,498,3824,4,63.5
Panchthar,Hilihan Gaunpalika,524 1 02 4 001,10902,9471,7677,213,1578,3,81.06,11145,7447,220,3473,5,66.82
Panchthar,Kummayak Gaunpalika,524 1 02 4 004,10906,6696,5266,209,1217,4,78.64,8017,4967,242,2799,9,61.96
Panchthar,Miklajung Gaunpalika,524 1 02 4 007,10908,10226,8187,408,1629,2,80.06,12203,8015,460,3719,9,65.68
Panchthar,Phidim Municipality,524 1 02 3 001,10904,20982,17183,593,3198,8,81.89,23943,16420,674,6843,6,68.58
Panchthar,Tumbewa Gaunpalika,524 1 02 4 006,10907,5586,4350,114,1121,1,77.87,6568,4140,139,2281,8,63.03
Panchthar,Yangbarak Gaunpalika,524 1 02 4 002,10107,7823,6339,281,1202,1,81.03,8712,5881,328,2498,5,67.5
Parbat,Bihadi Gaunpalika,524 4 42 4 003,41006,5179,4298,108,773,0,82.99,6853,4641,140,2071,1,67.72
Parbat,Jaljala Gaunpalika,524 4 42 4 001,41002,8616,7025,240,1351,0,81.53,10777,6764,285,3722,6,62.76
Parbat,Kushma Municipality,524 4 42 3 001,41003,15859,13443,369,2039,8,84.77,20193,13754,405,6019,15,68.11
Parbat,Mahashila Gaunpalika,524 4 42 4 004,41005,3925,3239,128,556,2,82.52,5006,3181,155,1666,4,63.54
Parbat,Modi Gaunpalika,524 4 42 4 002,41001,8264,6789,195,1268,12,82.15,10982,7059,256,3645,22,64.28
Parbat,Paiyu Gaunpalika,524 4 42 4 005,41007,6050,4993,185,865,7,82.53,7914,5400,252,2255,7,68.23
Parbat,Phalebas Municipality,524 4 42 3 002,41004,9543,8119,140,1275,9,85.08,12974,8786,164,4022,2,67.72
Parsa,Bahudarmai Municipality,524 2 34 3 002,20808,18157,10340,680,7108,29,56.95,16456,5240,636,10534,46,31.84
Parsa,Bindabasini Gaunpalika,524 2 34 4 010,20814,11065,6838,312,3901,14,61.8,10313,3585,305,6409,14,34.76
Parsa,Birgunj Metropolitian City,524 2 34 1 001,20807,114638,87386,2697,24488,67,76.23,101658,56489,2536,42545,88,55.57
Parsa,Chhipaharmai Gaunpalika,524 2 34 4 007,20812,11927,7011,257,4650,9,58.78,11375,3788,255,7324,8,33.3
Parsa,Dhobini Gaunpalika,524 2 34 4 006,20811,8893,5355,397,3135,6,60.22,8437,2807,363,5263,4,33.27
Parsa,Jagarnathpur Gaunpalika,524 2 34 4 005,20803,14722,7925,688,6096,13,53.83,13736,4089,674,8954,19,29.77
Parsa,Jirabhawani Gaunpalika,524 2 34 4 002,20802,10044,6259,215,3570,0,62.32,10116,3946,224,5940,6,39.01
Parsa,Kalikamai Gaunpalika,524 2 34 4 008,20810,9634,6437,317,2802,78,66.82,8907,3599,348,4859,101,40.41
Parsa,Pakaha Mainpur Gaunpalika,524 2 34 4 009,20813,9599,6120,259,3213,7,63.76,8646,3211,249,5176,10,37.14
Parsa,Parsagadhi Municipality,524 2 34 3 003,20806,17240,10007,554,6671,8,58.05,16755,6392,530,9821,12,38.15
Parsa,Paterwa Sugauli Gaunpalika,524 2 34 4 003,20804,10693,6013,269,4410,1,56.23,10511,3498,261,6745,7,33.28
Parsa,Pokhariya Municipality,524 2 34 3 001,20809,14735,8758,509,5451,17,59.44,13839,4320,404,9083,32,31.22
Parsa,Sakhuwa Prasauni Gaunpalika,524 2 34 4 004,20805,14835,8332,489,5995,19,56.16,14267,4927,460,8853,27,34.53
Parsa,Thori Gaunpalika,524 2 34 4 001,20801,8986,6834,225,1922,5,76.05,9748,5741,240,3762,5,58.89
Pyuthan,Aairawati Gaunpalika,524 5 55 4 007,50308,8240,6643,160,1433,4,80.62,11294,7066,206,4008,14,62.56
Pyuthan,Gaumukhi Gaunpalika,524 5 55 4 002,50301,9514,7026,121,2357,10,73.85,12154,6485,148,5510,11,53.36
Pyuthan,Jhimaruk Gaunpalika,524 5 55 4 003,50303,10404,8510,154,1740,0,81.8,14131,9018,199,4912,2,63.82
Pyuthan,Mallarani Gaunpalika,524 5 55 4 005,50307,6505,5413,143,949,0,83.21,9090,5914,249,2926,1,65.06
Pyuthan,Mandavi Gaunpalika,524 5 55 4 004,50306,5539,4399,193,947,0,79.42,7472,4340,245,2887,0,58.08
Pyuthan,Naubahini Gaunpalika,524 5 55 4 001,50302,11399,7565,363,3468,3,66.37,14478,6298,469,7710,1,43.5
Pyuthan,Pyuthan Municipality,524 5 55 3 002,50304,14543,11926,274,2342,1,82.01,19544,12345,322,6873,4,63.17
Pyuthan,Sarumarani Gaunpalika,524 5 55 4 006,50309,7028,5538,131,1358,1,78.8,9128,5555,175,3396,2,60.86
Pyuthan,Sworgadwari Municipality,524 5 55 3 001,50305,10654,8268,325,2054,7,77.6,16050,9413,389,6234,14,58.65
Ramechhap,Doramba Gaunpalika,524 3 21 4 002,31007,9400,6050,448,2899,3,64.36,11585,5287,440,5848,10,45.64
Ramechhap,Gokulganga Gaunpalika,524 3 21 4 003,31002,8402,6364,256,1774,8,75.74,9921,5544,356,4008,13,55.88
Ramechhap,Khandadevi Gaunpalika,524 3 21 4 005,31006,10825,7888,463,2470,4,72.87,13004,6798,545,5653,8,52.28
Ramechhap,Likhu Gaunpalika,524 3 21 4 006,10405,9654,7056,391,2192,15,73.09,11569,6505,435,4590,39,56.23
Ramechhap,Manthali  Municipality,524 3 21 3 001,31005,19036,14397,664,3967,8,75.63,22844,12611,746,9471,16,55.2
Ramechhap,Ramechhap Municipality,524 3 21 3 002,31004,11621,8428,367,2812,14,72.52,14519,7941,458,6085,35,54.69
Ramechhap,Sunapati Gaunpalika,524 3 21 4 001,31008,7750,5345,292,2109,4,68.97,9196,4606,283,4302,5,50.09
Ramechhap,Umakunda Gaunpalika,524 3 21 4 004,31001,7470,5317,398,1753,2,71.18,8604,4843,336,3421,4,56.29
Rasuwa,Gosaikunda Gaunpalika,524 3 29 4 002,30301,3382,2255,93,1033,1,66.68,3166,1498,75,1589,4,47.32
Rasuwa,Kalika Gaunpalika,524 3 29 4 004,30304,4139,2581,143,1410,5,62.36,4566,2311,182,2058,15,50.61
Rasuwa,Naukunda Gaunpalika,524 3 29 4 005,30305,5158,2548,127,2481,2,49.4,5480,2068,127,3277,8,37.74
Rasuwa,Parbatikunda Gaunpalika,524 3 29 4 001,30302,2411,1241,95,1075,0,51.47,2496,1053,80,1358,5,42.19
Rasuwa,Uttargaya Gaunpalika,524 3 29 4 003,30303,3506,2350,122,1034,0,67.03,4087,2184,106,1793,4,53.44
Rautahat,Boudhimai Municipality,524 2 32 3 010,20611,15008,7390,508,7106,4,49.24,13928,3969,475,9477,7,28.5
Rautahat,Brindaban Municipality,524 2 32 3 005,20605,19162,7772,844,10537,9,40.56,18419,4137,851,13410,21,22.46
Rautahat,Chandrapur Municipality,524 2 32 3 002,20601,32601,22155,993,9434,19,67.96,33094,16989,956,15110,39,51.34
Rautahat,Dewahi Gonahi Municipality,524 2 32 3 007,20609,14503,6152,766,7559,26,42.42,13658,3251,594,9777,36,23.8
Rautahat,Durga Bhagawati Gaunpalika,524 2 32 4 002,20615,10559,6195,232,4130,2,58.67,9480,3580,217,5682,1,37.76
Rautahat,Gadhimai Municipality,524 2 32 3 009,20606,18218,7812,769,9584,53,42.88,17180,4371,789,11933,87,25.44
Rautahat,Garuda Municipality,524 2 32 3 008,20608,23002,11398,908,10409,287,49.55,21541,6280,823,14118,320,29.15
Rautahat,Gaur Municipality,524 2 32 3 015,20617,16523,11188,618,4693,24,67.71,14903,7566,617,6675,45,50.77
Rautahat,Gujara Municipality,524 2 32 3 001,20602,20857,11445,974,8425,13,54.87,20656,7259,951,12415,31,35.14
Rautahat,Ishanath Municipality,524 2 32 3 013,20618,18286,8866,771,8606,43,48.49,17967,5259,893,11749,66,29.27
Rautahat,Katahariya Municipality,524 2 32 3 004,20604,17360,8933,623,7798,6,51.46,16279,4865,580,10824,10,29.89
Rautahat,Madhav Narayan Municipality,524 2 32 3 011,20607,16211,8060,738,7400,13,49.72,14903,4104,783,9993,23,27.54
Rautahat,Maulapur Municipality,524 2 32 3 006,20610,11940,5354,463,6121,2,44.84,10959,2542,462,7948,7,23.2
Rautahat,Paroha Municipality,524 2 32 3 012,20612,16650,7611,475,8552,12,45.71,15740,4245,485,10999,11,26.97
Rautahat,Phatuwa Bijayapur Municipality,524 2 32 3 003,20603,16513,8391,427,7592,103,50.81,15680,4675,435,10418,152,29.82
Rautahat,Rajdevi Municipality,524 2 32 3 016,20616,14120,8296,381,5438,5,58.75,12728,4941,347,7427,13,38.82
Rautahat,Rajpur Municipality,524 2 32 3 014,20613,17437,5858,517,11022,40,33.6,17739,3891,482,13330,36,21.93
Rautahat,Yamunamai Gaunpalika,524 2 32 4 001,20614,10658,4459,245,5947,7,41.84,10168,2549,263,7347,9,25.07
Rolpa,Duikholi Gaunpalika,524 5 54 4 002,50203,7942,5778,248,1909,7,72.75,10273,5650,314,4301,8,55
Rolpa,Lungri Gaunpalika,524 5 54 4 008,50210,8698,5381,258,3052,7,61.86,11408,3619,310,7462,17,31.72
Rolpa,Madi Gaunpalika,524 5 54 4 004,10209,7047,5013,251,1777,6,71.14,8708,4619,341,3745,3,53.04
Rolpa,Rolpa Municipality,524 5 54 3 001,50207,12667,9339,576,2748,4,73.73,16071,8720,698,6647,6,54.26
Rolpa,Runtigadhi Gaunpalika,524 5 54 4 009,50208,10515,7644,336,2530,5,72.7,13580,7260,440,5871,9,53.46
Rolpa,Subarnabati Gaunpalika,524 5 54 4 001,50204,10853,7613,359,2876,5,70.15,13756,6651,517,6576,12,48.35
Rolpa,Sukidaha Gaunpalika,524 5 54 4 005,50201,7935,5612,142,2181,0,70.72,9430,5130,158,4142,0,54.4
Rolpa,Sunchhahari Gaunpalika,524 5 54 4 007,50209,6450,3852,251,2343,4,59.72,7602,2659,282,4655,6,34.98
Rolpa,Thawang Gaunpalika,524 5 54 4 003,50202,4398,2850,127,1419,2,64.8,5168,2286,120,2756,6,44.23
Rolpa,Tribeni Gaunpalika,524 5 54 4 006,50206,9298,7540,156,1600,2,81.09,10871,7107,188,3573,3,65.38
Rukum,Aathabisakot Municipality,524 6 52 3 001,60605,14425,9727,238,4453,7,67.43,14735,7278,373,7077,7,49.39
Rukum,Banphikot Gaunpalika,524 6 52 4 002,60803,7533,5288,221,2023,1,70.2,8800,4680,289,3830,1,53.18
Rukum,Bhoome Gaunpalika,524 5 77 4 003,50103,7440,4893,228,2315,4,65.77,9094,4097,246,4738,13,45.05
Rukum,Chaurjahari Municipality,524 6 52 3 002,60806,11495,8546,275,2667,7,74.35,12918,7437,335,5132,14,57.57
Rukum,Musikot Municipality,524 6 52 3 003,50404,13674,11031,270,2368,5,80.67,15813,10156,333,5315,9,64.23
Rukum,Putha Uttanganga Gaunpalika,524 5 77 4 002,50101,7475,4033,251,3187,4,53.95,8443,3166,228,5047,2,37.5
Rukum,Sanibheri Gaunpalika,524 6 52 4 001,60802,9109,6502,310,2291,6,71.38,10197,5422,423,4343,9,53.17
Rukum,Sisne Gaunpalika,524 5 77 4 001,50102,6929,4955,209,1765,0,71.51,7737,4240,249,3242,6,54.8
Rukum,Tribeni Gaunpalika,524 6 52 4 003,50206,7686,5784,116,1783,3,75.25,9485,5912,160,3412,1,62.33
Rupandehi,Butwal Sub-Metropolitian City,524 5 48 2 001,50802,62835,58142,686,3981,26,92.53,65895,54345,936,10527,87,82.47
Rupandehi,Devdaha Municipality,524 5 48 3 002,50801,22510,18180,615,3712,3,80.76,26491,17383,774,8322,12,65.62
