Districts,Palika,HLCIT_CODE,cbs code,Total_PE,Agriculture_PE,Manufacturing_PE,Construction_PE,Wholesales_PE,Transportations_PE,Accommodations_PE,Financial_PE,Education_PE,Social_Work_PE,Real_Eastate_PE
Lalitpur,Bagmati Gaunpalika,524 3 25 4 001,20503,1684,97,556,21,295,3,91,65,378,29,149
Lalitpur,Godawari Municipality,524 3 25 3 001,30803,15555,704,5385,266,3476,65,1609,637,2270,386,757
Lalitpur,Konjyosom Gaunpalika,524 3 25 4 002,30804,1604,171,57,78,209,6,141,45,184,203,510
Lalitpur,Lalitpur Metropolitian City,524 3 25 1 001,30801,97588,374,13314,3245,24226,6789,11052,4934,14671,7190,11793
Lalitpur,Mahalaxmi Municipality,524 3 25 3 002,10701,12633,108,2587,81,4373,84,1521,423,2100,574,782
Lalitpur,Mahankal Gaunpalika,524 3 25 4 003,30805,5344,187,113,22,211,15,67,35,252,155,4287
Lamjung,Bensi Shahar Municipality,524 4 37 3 002,40605,12466,213,559,160,1689,129,771,7157,1003,350,435
Lamjung,Dordi Gaunpalika,524 4 37 4 003,40601,1186,39,38,58,356,30,71,20,421,114,39
Lamjung,Dudhapokhari Gaunpalika,524 4 37 4 004,40608,802,60,21,12,213,17,74,29,224,100,52
Lamjung,Kwhola Sothar Gaunpalika,524 4 37 4 001,40603,868,75,43,44,173,8,169,16,229,64,47
Lamjung,Madhya Nepal Municipality,524 4 37 3 001,40604,2945,142,460,43,934,38,260,131,657,177,103
Lamjung,Marshyangdi Gaunpalika,524 4 37 4 002,40602,1689,16,99,163,352,12,341,82,459,113,52
Lamjung,Rainas Municipality,524 4 37 3 004,40607,1571,45,169,6,569,4,143,57,438,82,58
Lamjung,Sundarbazar Municipality,524 4 37 3 003,40606,7868,212,445,125,1052,59,303,4344,915,186,227
Mahottari,Aurahi Municipality,524 2 18 3 003,20216,1335,11,105,0,902,0,65,35,153,8,56
Mahottari,Balawa Municipality,524 2 18 3 007,20407,2189,2,195,0,1358,0,255,63,155,43,118
Mahottari,Bardibas Municipality,524 2 18 3 001,20401,6750,79,549,339,2827,112,785,826,834,221,178
Mahottari,Bhangaha Municipality,524 2 18 3 004,20405,1809,28,238,0,999,0,150,11,232,37,114
Mahottari,Ekadara Gaunpalika,524 2 18 4 003,20411,2656,204,186,4,704,7,107,344,587,8,505
Mahottari,Gaushala Municipality,524 2 18 3 002,20402,3790,89,1013,14,1489,20,235,0,605,92,233
Mahottari,Jaleshwor Municipality,524 2 18 3 009,20415,4261,14,687,71,1545,20,397,131,825,144,427
Mahottari,Loharpatti Municipality,524 2 18 3 008,20406,2043,2,220,0,1090,1,188,64,255,41,182
Mahottari,Mahottari Gaunpalika,524 2 18 4 004,20412,461,0,35,0,222,0,16,2,159,0,27
Mahottari,Manara Shisawa Municipality,524 2 18 3 006,20410,2267,116,610,1,799,2,165,13,282,67,212
Mahottari,Matihani Municipality,524 2 18 3 010,20414,2098,0,475,0,833,3,141,113,377,23,133
Mahottari,Pipara Gaunpalika,524 2 18 4 005,20413,1382,11,111,0,701,0,125,30,216,22,166
Mahottari,Ram Gopalpur Municipality,524 2 18 3 005,20408,3056,30,1230,1,1125,4,164,44,309,50,99
Mahottari,Samsi Gaunpalika,524 2 18 4 002,20409,1284,5,156,0,606,0,137,45,126,112,97
Mahottari,Sonama Gaunpalika,524 2 18 4 001,20403,1617,6,466,0,843,2,45,28,139,40,48
Makwanpur,Bagmati Gaunpalika,524 3 31 4 008,20503,1333,23,185,13,517,6,115,31,365,32,46
Makwanpur,Bakaiya Gaunpalika,524 3 31 4 007,31209,1903,142,233,37,661,12,111,29,533,56,89
Makwanpur,Bhimphedi Gaunpalika,524 3 31 4 004,31207,1419,36,72,152,354,3,239,61,380,53,69
Makwanpur,Hetauda Sub-Metropolitian City,524 3 31 2 001,31206,31588,481,7959,1242,9634,690,3347,1114,3572,1165,2384
Makwanpur,Indrasarowar Gaunpalika,524 3 31 4 005,31201,1066,28,57,68,297,5,340,35,180,31,25
Makwanpur,Kailash Gaunpalika,524 3 31 4 003,31203,855,25,85,16,259,0,82,26,262,27,73
Makwanpur,Makawanpurgadhi Gaunpalika,524 3 31 4 006,31208,1456,176,197,136,352,5,103,34,362,39,52
Makwanpur,Manahari Gaunpalika,524 3 31 4 001,31205,2968,162,315,112,1259,6,420,94,468,50,82
Makwanpur,Raksirang Gaunpalika,524 3 31 4 002,31204,740,34,74,0,222,0,64,5,279,23,39
Makwanpur,Thaha Municipality,524 3 31 3 001,31202,3254,95,441,143,786,38,666,212,637,65,171
Manang,Chame Gaunpalika,524 4 38 4 003,40203,450,12,7,18,55,13,180,46,61,23,35
Manang,Naraphu Gaunpalika,524 4 38 4 002,40201,104,0,4,10,0,0,58,0,11,13,8
Manang,Nashong Gaunpalika,524 4 38 4 004,40204,473,27,1,12,25,0,276,0,106,20,6
Manang,Neshang Gaunpalika,524 4 38 4 001,40202,668,71,3,5,19,12,425,4,69,39,21
Morang,Belbari Municipality,524 1 05 3 003,11205,6196,59,600,10,2825,19,741,209,1237,218,278
