District ,Name of municipalities,HLCIT_CODE,CBS_Code,Total,Without any facility,At least one facility,Radio,Television,Cable television,computer,internet,Tele phone ,Mobile phone
Siraha,Golbazar Municipality,524 2 16 3 003,20203,10110,1937,7956,3616,3475,863,204,31,198,5322
Siraha,Kalyanpur Municipality,524 2 16 3 006,20206,9391,1843,7353,3464,4250,161,94,10,97,5906
Siraha,Karjanha Municipality,524 2 16 3 001,20205,6088,1580,4480,1925,2684,356,81,9,45,3933
Siraha,Lahan Municipality,524 2 16 3 005,20201,17182,2238,14498,6776,7325,1674,696,131,725,10317
Siraha,Laxmipur Patari Gaunpalika,524 2 16 4 006,20211,4830,1085,3672,1505,1198,39,33,3,21,2313
Siraha,Mirchaiya Municipality,524 2 16 3 002,20204,9333,1400,7789,3232,4019,867,172,82,311,6022
Siraha,Naraha Gaunpalika,524 2 16 4 001,20207,3673,1039,2568,1076,1246,84,58,10,37,2012
Siraha,Nawarajpur Gaunpalika,524 2 16 4 007,20214,3280,774,2414,906,669,38,14,2,8,1450
Siraha,Sakhuwa Nankarkatti Gaunpalika,524 2 16 4 008,20212,3388,930,2418,977,946,35,30,1,19,1079
Siraha,Siraha Municipality,524 2 16 3 008,20217,15477,2792,12392,6374,7543,1168,305,72,430,9763
Siraha,Sukhipur Municipality,524 2 16 3 007,20210,6734,1601,4994,2011,1517,144,50,7,59,3384
Dhanusa,Aurahi Gaunpalika,524 2 17 4 003,20404,4003,514,3353,1626,1174,118,26,3,73,2642
Dhanusa,Bateshwor Gaunpalika,524 2 17 4 001,20304,3671,780,2785,1479,1275,70,32,2,72,2036
Dhanusa,Bideha Municipality,524 2 17 3 010,20313,5817,907,4288,2590,1651,159,47,6,88,3011
Dhanusa,Chhireshwornath Municipality,524 2 17 3 003,20305,7775,1170,6404,3420,3692,657,176,43,305,5201
Dhanusa,Dhanauji Gaunpalika,524 2 17 4 004,20316,3717,697,2909,1548,1804,214,28,6,108,1936
Dhanusa,Dhanushadham Municipality,524 2 17 3 004,20302,8715,1484,7084,3641,3978,391,106,16,183,5969
Dhanusa,Ganeshman Charnath Municipality,524 2 17 3 002,20301,7037,1280,5633,2864,2752,358,68,9,98,4785
Dhanusa,Hansapur Municipality,524 2 17 3 007,20308,6912,1184,5538,2531,2342,415,49,4,72,4479
Dhanusa,Janak Nandini Gaunpalika,524 2 17 4 006,20312,4461,964,3264,1491,1192,138,32,7,47,2794
Dhanusa,Janakpur Sub-Metropolitian City,524 2 17 2 001,20315,30589,2821,27232,13894,16284,12738,2666,706,4069,23068
Dhanusa,Kamala Municipality,524 2 17 3 011,20311,6999,1581,5181,2571,1324,59,29,4,35,4128
Dhanusa,Laxminiya Gaunpalika,524 2 17 4 002,20306,4995,548,4373,2028,2530,865,73,9,101,3430
Dhanusa,Mithila Bihari Municipality,524 2 17 3 005,20307,6066,739,5074,2235,2393,480,57,5,75,4309
Dhanusa,Mithila Municipality,524 2 17 3 001,20303,8229,1050,7000,4315,3598,899,169,16,221,5471
